Employment,Country,EdLevel,Age,Gender,YearsCodePro,Salary
0.0,15.0,8.0,0.0,0.0,2.0,50000.0
1.0,15.0,8.0,0.0,0.0,2.0,50000.0
1.0,16.0,8.0,0.0,0.0,3.0,30000.0
1.0,16.0,7.0,0.0,0.0,3.0,49296.0
1.0,11.0,5.0,0.0,0.0,2.0,33132.0
1.0,1.0,1.0,1.0,0.0,8.0,21996.0
1.0,15.0,1.0,3.0,0.0,14.0,134000.0
1.0,5.0,1.0,1.0,0.0,3.0,13962.0
1.0,15.0,1.0,1.0,0.0,3.0,115000.0
1.0,15.0,4.0,4.0,0.0,24.0,140000.0
1.0,9.0,1.0,1.0,0.0,7.0,31200.0
1.0,15.0,1.0,3.0,0.0,22.0,129800.0
1.0,16.0,8.0,1.0,0.0,6.0,15960.0
1.0,13.0,8.0,0.0,0.0,0.5,9864.0
1.0,16.0,1.0,1.0,0.0,7.0,45912.0
1.0,8.0,3.0,1.0,0.0,4.0,51636.0
1.0,16.0,1.0,2.0,0.0,9.0,46704.0
1.0,16.0,1.0,3.0,0.0,30.0,64740.0
1.0,5.0,3.0,0.0,0.0,1.0,53616.0
1.0,16.0,3.0,1.0,0.0,10.0,32664.0
1.0,5.0,1.0,0.0,0.0,1.0,9075.0
1.0,15.0,1.0,2.0,0.0,13.0,170000.0
1.0,16.0,0.0,3.0,0.0,15.0,90000.0
1.0,2.0,1.0,2.0,0.0,22.0,94539.0
1.0,7.0,3.0,0.0,0.0,0.5,55130.0
1.0,15.0,8.0,1.0,0.0,6.0,110000.0
1.0,16.0,3.0,1.0,0.0,4.0,59676.0
1.0,15.0,3.0,1.0,0.0,6.0,90000.0
1.0,10.0,3.0,1.0,0.0,8.0,19452.0
1.0,16.0,3.0,1.0,0.0,4.0,48456.0
1.0,15.0,1.0,2.0,0.0,28.0,172000.0
1.0,1.0,1.0,2.0,0.0,10.0,64860.0
1.0,6.0,1.0,1.0,0.0,3.0,35672.0
1.0,16.0,3.0,2.0,0.0,18.0,86478.0
1.0,15.0,1.0,1.0,0.0,3.0,70000.0
1.0,5.0,1.0,0.0,0.0,1.0,6696.0
1.0,15.0,1.0,1.0,0.0,4.0,59820.0
